ID,gender,age_group,citizen,vismin,immigrant,responded,voted_2019,past_vote,plan_to_vote,likely_party,Healthcare,Education,Taxes,Climate,Jobs,Housing,Indigenous,Immigration,Racial,Seniors,Childcare,COVID19,Debt,ads,decided,ad_affect
372,Male,45-54,yes,No,Yes,yes,yes,NDP,No,Don't plan to vote,Moderately,Slightly,Slightly,Very,Moderately,Moderately,Not,Moderately,Not,Not,Not,Extremely,Extremely,Signs/Billboards,Decided,not at all
373,Female,35-44,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Not,Slightly,Moderately,Moderately,Moderately,Moderately,Very,Moderately,Don't know,Extremely,Moderately,Very,Very,Signs/Billboards,Decided,not at all
379,Male,45-54,yes,Yes,No,yes,yes,NDP,Yes,Liberal,Not,Not,Moderately,Slightly,Moderately,Slightly,Not,Moderately,Not,Don't know,Moderately,Moderately,Moderately,None,Decided,not at all
380,Male,25-34,yes,No,No,yes,yes,Conservative,Yes,Liberal,Not,Extremely,Don't know,Not,Moderately,Moderately,Not,Slightly,Not,Moderately,Moderately,Moderately,Extremely,Online,Decided,a little
382,Male,18-24,yes,No,No,yes,yes,Conservative,Yes,NDP,Moderately,Slightly,Very,Very,Moderately,Moderately,Moderately,Not,Not,Very,Not,Very,Moderately,Online,Decided,a little
393,Male,25-34,yes,Yes,Yes,yes,yes,Liberal,Yes,NDP,Slightly,Not,Moderately,Moderately,Moderately,Moderately,Slightly,Slightly,Don't know,Not,Slightly,Very,Slightly,Online,Decided,not at all
394,Male,25-34,yes,No,No,yes,no,Did not vote,No,Don't plan to vote,Not,Moderately,Slightly,Moderately,Moderately,Very,Not,Not,Not,Not,Moderately,Moderately,Extremely,None,Decided,not at all
395,Female,65 and over,yes,No,No,yes,yes,Conservative,Yes,Liberal,Not,Not,Moderately,Moderately,Moderately,Extremely,Not,Slightly,Slightly,Moderately,Moderately,Moderately,Extremely,Online,Decided,not at all
400,Male,18-24,yes,No,Yes,yes,yes,Conservative,Yes,Conservative,Not,Not,Moderately,Moderately,Very,Not,Not,Not,Not,Not,Not,Very,Moderately,TV,Decided,not at all
405,Female,65 and over,yes,No,Yes,yes,yes,Liberal,Don't know,Conservative,Slightly,Moderately,Moderately,Slightly,Moderately,Not,Slightly,Not,Moderately,Moderately,Not,Don't know,Moderately,TV,Decided,not at all
407,Male,25-34,yes,No,Yes,yes,yes,Other/Prefer not to answer,Yes,NDP,Not,Not,Moderately,Moderately,Moderately,Very,Slightly,Not,Slightly,Moderately,Not,Extremely,Moderately,Online,Decided,not at all
410,Male,55-64,yes,No,No,yes,idk,Did not vote,Yes,Conservative,Slightly,Moderately,Very,Very,Moderately,Moderately,Moderately,Not,Moderately,Slightly,Slightly,Very,Extremely,TV,Decided,a little
415,Female,18-24,yes,No,No,yes,yes,NDP,Yes,Liberal,Extremely,Moderately,Extremely,Not,Moderately,Moderately,Not,Not,Moderately,Moderately,Not,Not,Slightly,Online,Decided,not at all
417,Female,18-24,yes,No,Yes,yes,yes,NDP,Yes,Liberal,Extremely,Moderately,Extremely,Moderately,Moderately,Slightly,Not,Not,Not,Not,Slightly,Very,Extremely,Online,Decided,not at all
421,Female,55-64,yes,No,No,yes,yes,Conservative,Yes,Conservative,Not,Not,Not,Slightly,Moderately,Moderately,Moderately,Moderately,Don't know,Moderately,Not,Extremely,Very,Online,Decided,not at all
422,Male,55-64,yes,No,No,yes,no,Did not vote,Don't know,Liberal,Extremely,Not,Don't know,Slightly,Moderately,Not,Not,Moderately,Not,Moderately,Don't know,Extremely,Moderately,TV,Decided,a lot
425,Male,45-54,yes,No,Yes,yes,yes,Liberal,Yes,Green,Not,Extremely,Slightly,Very,Moderately,Not,Not,Not,Moderately,Not,Slightly,Moderately,Slightly,Online,Decided,not at all
427,Female,25-34,yes,No,No,yes,yes,Conservative,Yes,NDP,Not,Moderately,Extremely,Don't know,Moderately,Moderately,Slightly,Not,Moderately,Very,Not,Moderately,Moderately,TV,Decided,not at all
429,Male,65 and over,yes,No,Yes,yes,no,Did not vote,Yes,Liberal,Extremely,Slightly,Moderately,Moderately,Moderately,Moderately,Slightly,Not,Slightly,Slightly,Slightly,Moderately,Very,Mail,Decided,not at all
432,Female,65 and over,yes,Yes,No,yes,yes,Conservative,Yes,Conservative,Not,Slightly,Moderately,Moderately,Moderately,Moderately,Slightly,Not,Slightly,Not,Not,Extremely,Moderately,TV,Decided,not at all
434,Male,55-64,yes,Yes,Yes,yes,yes,Conservative,Yes,Conservative,Not,Not,Moderately,Moderately,Moderately,Moderately,Don't know,Not,Not,Not,Slightly,Moderately,Extremely,None,Decided,not at all
435,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Liberal,Don't know,Slightly,Very,Very,Moderately,Slightly,Moderately,Moderately,Very,Not,Moderately,Moderately,Moderately,TV,Decided,not at all
439,Male,65 and over,yes,No,Yes,yes,yes,Liberal,Yes,Undecided,Not,Moderately,Very,Moderately,Moderately,Very,Not,Not,Slightly,Extremely,Very,Extremely,Moderately,TV,Undecided,not at all
442,Male,65 and over,yes,No,No,yes,yes,Liberal,Yes,Conservative,Slightly,Slightly,Very,Moderately,Moderately,Very,Not,Slightly,Not,Moderately,Not,Moderately,Very,Online,Decided,not at all
443,Female,18-24,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Slightly,Moderately,Very,Moderately,Moderately,Slightly,Slightly,Not,Moderately,Moderately,Extremely,Very,Very,Online,Decided,not at all
450,Male,65 and over,yes,Yes,Yes,yes,yes,Conservative,Yes,Liberal,Not,Not,Very,Moderately,Moderately,Extremely,Moderately,Not,Not,Not,Moderately,Moderately,Slightly,TV,Decided,not at all
454,Female,65 and over,yes,No,Yes,yes,yes,Conservative,Yes,NDP,Slightly,Moderately,Very,Very,Moderately,Not,Don't know,Moderately,Not,Moderately,Slightly,Slightly,Very,Online,Decided,not at all
463,Female,18-24,yes,Yes,Yes,yes,yes,Conservative,Yes,Conservative,Extremely,Not,Moderately,Slightly,Moderately,Very,Don't know,Don't know,Not,Don't know,Very,Very,Slightly,Online,Decided,not at all
467,Male,55-64,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Slightly,Slightly,Not,Moderately,Moderately,Moderately,Slightly,Moderately,Moderately,Not,Extremely,Moderately,Online,Decided,not at all
469,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Very,Not,Moderately,Moderately,Moderately,Not,Not,Moderately,Slightly,Moderately,Don't know,Extremely,Moderately,Signs/Billboards,Decided,not at all
470,Male,65 and over,yes,Yes,Yes,yes,no,Did not vote,Yes,Undecided,Moderately,Slightly,Slightly,Extremely,Moderately,Moderately,Don't know,Moderately,Not,Not,Not,Very,Slightly,Online,Undecided,a little
477,Female,18-24,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Slightly,Moderately,Slightly,Moderately,Slightly,Slightly,Moderately,Not,Slightly,Extremely,Slightly,Slightly,Signs/Billboards,Decided,not at all
482,Male,45-54,yes,No,No,yes,yes,Liberal,Yes,Liberal,Moderately,Extremely,Moderately,Very,Moderately,Slightly,Moderately,Not,Slightly,Moderately,Not,Extremely,Don't know,TV,Decided,not at all
485,Male,55-64,yes,No,No,yes,yes,Liberal,Yes,Undecided,Very,Moderately,Moderately,Moderately,Moderately,Moderately,Extremely,Moderately,Not,Very,Not,Moderately,Moderately,Online,Undecided,not at all
492,Male,65 and over,yes,Yes,No,yes,yes,NDP,Yes,Liberal,Slightly,Slightly,Don't know,Slightly,Moderately,Moderately,Not,Moderately,Not,Very,Not,Very,Moderately,Online,Decided,not at all
494,Male,45-54,yes,No,No,yes,yes,Liberal,Yes,NDP,Not,Moderately,Moderately,Slightly,Not,Very,Moderately,Not,Not,Moderately,Moderately,Extremely,Moderately,Online,Decided,not at all
495,Female,35-44,yes,Yes,No,yes,yes,Liberal,Yes,NDP,Slightly,Slightly,Moderately,Extremely,Moderately,Don't know,Don't know,Moderately,Not,Slightly,Very,Moderately,Moderately,TV,Decided,not at all
496,Female,18-24,yes,No,Yes,yes,yes,Liberal,Yes,Conservative,Very,Moderately,Moderately,Not,Moderately,Not,Not,Not,Not,Extremely,Slightly,Moderately,Moderately,Signs/Billboards,Decided,not at all
497,Female,18-24,yes,Yes,Yes,yes,yes,Liberal,Yes,Undecided,Extremely,Moderately,Moderately,Moderately,Moderately,Very,Not,Slightly,Moderately,Not,Moderately,Extremely,Moderately,Online,Undecided,not at all
499,Male,65 and over,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Slightly,Not,Don't know,Moderately,Extremely,Moderately,Slightly,Moderately,Moderately,Slightly,Moderately,Very,Slightly,None,Decided,not at all
502,Male,18-24,yes,Yes,No,yes,idk,Did not vote,No,Don't plan to vote,Extremely,Not,Not,Moderately,Moderately,Very,Very,Very,Not,Slightly,Not,Extremely,Extremely,TV,Decided,not at all
503,Female,18-24,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Not,Moderately,Moderately,Extremely,Very,Not,Slightly,Extremely,Slightly,Moderately,Very,Moderately,TV,Decided,a little
504,Male,35-44,yes,Yes,No,yes,no,Did not vote,Yes,Undecided,Not,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Not,Not,Not,Not,Extremely,Moderately,Signs/Billboards,Undecided,a little
507,Female,45-54,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Slightly,Not,Very,Moderately,Moderately,Slightly,Moderately,Not,Moderately,Not,Not,Extremely,Moderately,Mail,Decided,not at all
508,Female,18-24,yes,Yes,No,yes,yes,Liberal,Yes,Conservative,Slightly,Slightly,Moderately,Not,Extremely,Not,Moderately,Moderately,Extremely,Moderately,Moderately,Moderately,Extremely,Online,Decided,not at all
510,Male,45-54,yes,No,No,yes,yes,Conservative,Yes,Conservative,Not,Moderately,Moderately,Moderately,Extremely,Very,Slightly,Not,Very,Moderately,Not,Moderately,Slightly,TV,Decided,not at all
511,Female,55-64,yes,Yes,No,yes,yes,Green,Yes,Liberal,Slightly,Moderately,Moderately,Moderately,Slightly,Slightly,Moderately,Not,Not,Slightly,Slightly,Extremely,Very,Mail,Decided,not at all
514,Male,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Not,Moderately,Moderately,Moderately,Don't know,Moderately,Not,Slightly,Extremely,Not,Moderately,Slightly,Signs/Billboards,Decided,not at all
524,Male,65 and over,yes,No,No,yes,yes,Liberal,Yes,Conservative,Slightly,Not,Don't know,Slightly,Moderately,Very,Not,Don't know,Slightly,Moderately,Not,Very,Moderately,TV,Decided,not at all
530,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Not,Not,Extremely,Moderately,Very,Very,Moderately,Moderately,Not,Don't know,Moderately,Slightly,Online,Decided,not at all
531,Male,35-44,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Not,Moderately,Not,Very,Extremely,Not,Slightly,Very,Not,Not,Slightly,Don't know,Extremely,Online,Decided,not at all
534,Female,55-64,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Don't know,Not,Moderately,Very,Moderately,Not,Moderately,Moderately,Not,Moderately,Not,Moderately,Moderately,TV,Decided,not at all
536,Male,45-54,yes,No,No,yes,yes,NDP,Yes,Liberal,Extremely,Don't know,Moderately,Moderately,Moderately,Slightly,Moderately,Moderately,Don't know,Not,Extremely,Moderately,Moderately,TV,Decided,not at all
540,Male,18-24,yes,No,Yes,yes,yes,Green,Yes,Conservative,Not,Slightly,Very,Moderately,Moderately,Very,Not,Not,Very,Not,Not,Moderately,Slightly,Mail,Decided,not at all
544,Female,35-44,yes,Yes,Yes,yes,yes,NDP,Yes,Conservative,Slightly,Not,Moderately,Very,Moderately,Slightly,Slightly,Not,Slightly,Not,Slightly,Moderately,Moderately,Online,Decided,a little
548,Female,45-54,yes,No,No,yes,yes,Green,Yes,Liberal,Slightly,Extremely,Very,Not,Moderately,Moderately,Moderately,Not,Moderately,Very,Not,Moderately,Moderately,TV,Decided,not at all
551,Male,45-54,yes,No,Yes,yes,no,Did not vote,Yes,Liberal,Slightly,Not,Very,Slightly,Moderately,Don't know,Not,Moderately,Very,Slightly,Moderately,Moderately,Extremely,Online,Decided,not at all
555,Female,65 and over,yes,Prefer not to say,No,yes,yes,Conservative,Yes,NDP,Not,Moderately,Slightly,Not,Moderately,Moderately,Extremely,Not,Slightly,Not,Not,Extremely,Moderately,TV,Decided,not at all
558,Female,18-24,yes,Yes,No,yes,no,Did not vote,No,Don't plan to vote,Moderately,Not,Very,Extremely,Don't know,Moderately,Not,Moderately,Not,Moderately,Not,Slightly,Moderately,Online,Decided,not at all
562,Female,45-54,yes,No,No,yes,yes,Liberal,Yes,NDP,Not,Don't know,Don't know,Not,Moderately,Moderately,Not,Extremely,Moderately,Extremely,Very,Moderately,Moderately,Online,Decided,not at all
571,Male,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Moderately,Moderately,Slightly,Slightly,Moderately,Not,Moderately,Moderately,Not,Extremely,Moderately,Very,Very,Signs/Billboards,Decided,not at all
572,Female,25-34,yes,Yes,No,yes,no,Did not vote,Yes,Conservative,Not,Moderately,Not,Moderately,Moderately,Very,Not,Slightly,Slightly,Not,Moderately,Moderately,Slightly,Radio,Decided,not at all
575,Male,25-34,yes,Yes,Yes,yes,yes,Liberal,Yes,NDP,Extremely,Not,Extremely,Slightly,Moderately,Moderately,Moderately,Not,Extremely,Not,Not,Extremely,Slightly,Mail,Decided,not at all
576,Male,35-44,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Slightly,Not,Slightly,Slightly,Moderately,Very,Not,Not,Moderately,Very,Not,Moderately,Moderately,Print,Decided,not at all
577,Female,45-54,yes,No,No,yes,no,Did not vote,Yes,Green,Not,Not,Slightly,Not,Moderately,Not,Not,Moderately,Slightly,Not,Not,Extremely,Moderately,Online,Decided,not at all
579,Female,25-34,yes,No,Yes,yes,yes,Conservative,Yes,Liberal,Not,Slightly,Moderately,Moderately,Moderately,Slightly,Not,Not,Moderately,Not,Not,Extremely,Moderately,Mail,Decided,not at all
582,Male,55-64,yes,No,No,yes,yes,Liberal,Yes,NDP,Not,Don't know,Very,Moderately,Slightly,Moderately,Moderately,Moderately,Not,Moderately,Moderately,Extremely,Slightly,Signs/Billboards,Decided,not at all
586,Male,35-44,yes,Yes,No,yes,yes,Green,Yes,NDP,Slightly,Not,Extremely,Moderately,Moderately,Moderately,Extremely,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Print,Decided,not at all
588,Female,65 and over,yes,Yes,No,yes,yes,Conservative,Yes,Conservative,Very,Moderately,Slightly,Moderately,Moderately,Extremely,Not,Not,Extremely,Don't know,Moderately,Moderately,Moderately,Print,Decided,not at all
589,Male,45-54,yes,Prefer not to say,No,yes,yes,NDP,Yes,Liberal,Slightly,Slightly,Slightly,Very,Slightly,Don't know,Slightly,Not,Not,Extremely,Moderately,Slightly,Moderately,TV,Decided,not at all
593,Male,65 and over,yes,Yes,No,yes,no,Did not vote,Yes,NDP,Don't know,Very,Very,Extremely,Moderately,Moderately,Not,Not,Not,Very,Extremely,Moderately,Slightly,Online,Decided,not at all
594,Male,65 and over,yes,No,No,yes,yes,NDP,Yes,Liberal,Not,Not,Moderately,Very,Moderately,Moderately,Not,Extremely,Extremely,Don't know,Not,Extremely,Moderately,TV,Decided,not at all
595,Male,18-24,yes,No,No,yes,yes,Liberal,Yes,Conservative,Extremely,Slightly,Very,Very,Moderately,Moderately,Very,Moderately,Moderately,Slightly,Don't know,Extremely,Slightly,None,Decided,not at all
597,Female,18-24,yes,No,No,yes,yes,Conservative,Yes,NDP,Moderately,Moderately,Slightly,Don't know,Very,Moderately,Not,Slightly,Not,Not,Don't know,Not,Moderately,TV,Decided,not at all
602,Female,35-44,yes,No,No,yes,no,Did not vote,No,Don't plan to vote,Not,Not,Slightly,Moderately,Moderately,Moderately,Moderately,Not,Not,Slightly,Moderately,Moderately,Moderately,None,Decided,somewhat
605,Male,25-34,yes,No,Yes,yes,yes,Green,Yes,Conservative,Not,Moderately,Slightly,Moderately,Moderately,Extremely,Not,Slightly,Not,Moderately,Not,Moderately,Moderately,TV,Decided,not at all
608,Female,25-34,yes,No,No,yes,no,Did not vote,Yes,NDP,Not,Moderately,Moderately,Moderately,Moderately,Don't know,Not,Moderately,Slightly,Not,Moderately,Extremely,Moderately,TV,Decided,not at all
609,Male,18-24,yes,No,No,yes,yes,Liberal,Yes,Liberal,Very,Not,Not,Moderately,Not,Not,Not,Moderately,Not,Not,Not,Not,Very,TV,Decided,not at all
613,Female,55-64,yes,No,Yes,yes,yes,Green,Yes,Liberal,Slightly,Moderately,Slightly,Moderately,Extremely,Moderately,Not,Moderately,Moderately,Not,Not,Not,Slightly,TV,Decided,not at all
614,Male,65 and over,yes,No,No,yes,yes,Green,Yes,Undecided,Slightly,Slightly,Moderately,Moderately,Moderately,Very,Slightly,Slightly,Very,Slightly,Moderately,Moderately,Slightly,Signs/Billboards,Undecided,not at all
620,Male,45-54,yes,No,No,yes,no,Did not vote,Yes,Liberal,Not,Not,Moderately,Moderately,Moderately,Very,Slightly,Slightly,Not,Moderately,Not,Moderately,Moderately,TV,Decided,not at all
624,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Liberal,Very,Slightly,Moderately,Moderately,Moderately,Not,Not,Not,Not,Extremely,Moderately,Extremely,Very,None,Decided,not at all
629,Female,35-44,yes,No,No,yes,yes,Liberal,Yes,Green,Moderately,Moderately,Slightly,Moderately,Moderately,Moderately,Slightly,Not,Moderately,Moderately,Moderately,Moderately,Moderately,TV,Decided,not at all
630,Male,45-54,yes,No,No,yes,yes,NDP,Yes,Liberal,Don't know,Not,Very,Moderately,Moderately,Very,Don't know,Moderately,Moderately,Extremely,Moderately,Extremely,Slightly,Online,Decided,not at all
633,Female,55-64,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Slightly,Extremely,Slightly,Slightly,Moderately,Not,Moderately,Moderately,Slightly,Moderately,Moderately,Not,Extremely,Online,Decided,not at all
634,Female,45-54,yes,No,No,yes,no,Did not vote,No,Don't plan to vote,Not,Moderately,Moderately,Moderately,Moderately,Don't know,Moderately,Slightly,Slightly,Slightly,Moderately,Extremely,Slightly,Online,Decided,not at all
635,Female,55-64,yes,No,No,yes,yes,Liberal,Yes,Conservative,Moderately,Moderately,Not,Extremely,Slightly,Moderately,Not,Extremely,Not,Not,Not,Slightly,Extremely,Radio,Decided,a little
636,Female,25-34,yes,Yes,No,yes,yes,Liberal,Yes,Liberal,Slightly,Extremely,Slightly,Slightly,Moderately,Moderately,Not,Not,Very,Don't know,Not,Extremely,Very,Online,Decided,not at all
637,Female,25-34,yes,Yes,No,yes,no,Did not vote,Yes,Liberal,Moderately,Slightly,Very,Not,Not,Moderately,Not,Not,Extremely,Moderately,Not,Extremely,Moderately,Online,Decided,not at all
638,Female,35-44,yes,No,Yes,yes,yes,Liberal,Yes,NDP,Extremely,Not,Extremely,Very,Moderately,Very,Not,Not,Extremely,Slightly,Not,Moderately,Very,Signs/Billboards,Decided,not at all
644,Female,18-24,yes,No,No,yes,yes,Liberal,Yes,NDP,Not,Moderately,Very,Not,Moderately,Moderately,Slightly,Slightly,Slightly,Not,Not,Moderately,Moderately,Online,Decided,not at all
646,Female,18-24,yes,No,Yes,yes,yes,NDP,Yes,Liberal,Slightly,Not,Very,Moderately,Extremely,Extremely,Not,Moderately,Moderately,Not,Slightly,Extremely,Slightly,Signs/Billboards,Decided,not at all
649,Male,55-64,yes,Yes,No,yes,yes,Liberal,Yes,NDP,Extremely,Moderately,Not,Moderately,Moderately,Moderately,Slightly,Very,Moderately,Not,Don't know,Extremely,Moderately,TV,Decided,not at all
653,Female,18-24,yes,Yes,No,yes,yes,NDP,Yes,NDP,Not,Slightly,Don't know,Moderately,Moderately,Extremely,Moderately,Moderately,Not,Moderately,Not,Moderately,Moderately,TV,Decided,not at all
655,Female,35-44,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Not,Moderately,Slightly,Don't know,Very,Not,Not,Slightly,Don't know,Not,Extremely,Slightly,Mail,Decided,not at all
657,Female,25-34,yes,No,Yes,yes,yes,Liberal,Yes,NDP,Slightly,Not,Slightly,Moderately,Moderately,Not,Moderately,Moderately,Not,Very,Slightly,Very,Moderately,TV,Decided,not at all
660,Male,55-64,yes,Yes,No,yes,yes,Green,Yes,Conservative,Moderately,Moderately,Moderately,Very,Moderately,Moderately,Not,Don't know,Moderately,Not,Moderately,Moderately,Moderately,Signs/Billboards,Decided,not at all
671,Female,65 and over,yes,Yes,Yes,yes,yes,NDP,Yes,Green,Extremely,Not,Slightly,Very,Moderately,Very,Slightly,Not,Extremely,Slightly,Extremely,Extremely,Slightly,TV,Decided,not at all
673,Male,65 and over,yes,Yes,No,yes,yes,Conservative,Yes,Liberal,Slightly,Not,Not,Very,Extremely,Not,Not,Don't know,Not,Not,Not,Moderately,Extremely,TV,Decided,not at all
678,Female,25-34,yes,No,Yes,yes,yes,Liberal,Yes,Liberal,Not,Slightly,Don't know,Moderately,Moderately,Not,Slightly,Slightly,Moderately,Not,Slightly,Extremely,Slightly,Signs/Billboards,Decided,not at all
679,Male,65 and over,yes,No,No,yes,yes,Liberal,Yes,NDP,Not,Moderately,Moderately,Not,Moderately,Not,Not,Not,Not,Slightly,Very,Extremely,Slightly,Mail,Decided,a little
685,Male,45-54,yes,No,No,yes,yes,Green,Yes,Liberal,Extremely,Slightly,Moderately,Moderately,Moderately,Moderately,Don't know,Moderately,Not,Slightly,Not,Moderately,Moderately,Signs/Billboards,Decided,not at all
688,Male,35-44,yes,No,No,yes,yes,Liberal,Yes,Green,Not,Moderately,Don't know,Moderately,Moderately,Slightly,Not,Don't know,Slightly,Not,Not,Moderately,Very,Online,Decided,not at all
692,Male,35-44,yes,Yes,No,yes,yes,Green,Yes,Conservative,Not,Slightly,Moderately,Extremely,Moderately,Moderately,Slightly,Moderately,Not,Not,Slightly,Extremely,Slightly,Online,Decided,not at all
693,Female,65 and over,yes,No,No,yes,yes,Liberal,Yes,NDP,Don't know,Slightly,Extremely,Slightly,Moderately,Very,Moderately,Moderately,Not,Slightly,Moderately,Extremely,Moderately,Mail,Decided,not at all
700,Male,65 and over,yes,Yes,No,yes,yes,Liberal,Yes,Conservative,Not,Not,Moderately,Moderately,Moderately,Slightly,Not,Not,Not,Not,Moderately,Moderately,Extremely,Online,Decided,not at all
701,Male,25-34,yes,No,No,yes,yes,Liberal,Yes,Undecided,Not,Very,Not,Extremely,Moderately,Not,Not,Moderately,Moderately,Slightly,Moderately,Moderately,Moderately,Signs/Billboards,Undecided,a little
704,Male,35-44,yes,No,No,yes,no,Did not vote,Don't know,Conservative,Moderately,Moderately,Slightly,Moderately,Moderately,Moderately,Slightly,Moderately,Moderately,Slightly,Not,Not,Moderately,Online,Decided,a lot
710,Male,35-44,yes,Yes,Yes,yes,yes,NDP,Yes,Conservative,Extremely,Don't know,Slightly,Slightly,Moderately,Very,Not,Slightly,Very,Slightly,Very,Moderately,Very,Online,Decided,not at all
715,Male,65 and over,yes,Yes,No,yes,yes,NDP,Yes,Green,Slightly,Moderately,Not,Moderately,Extremely,Moderately,Not,Moderately,Moderately,Don't know,Don't know,Moderately,Slightly,Online,Decided,not at all
718,Male,25-34,yes,No,No,yes,yes,NDP,Yes,Green,Moderately,Moderately,Not,Slightly,Moderately,Don't know,Not,Moderately,Extremely,Slightly,Moderately,Very,Moderately,Online,Decided,not at all
721,Female,35-44,yes,No,Yes,yes,yes,NDP,Yes,Liberal,Not,Not,Don't know,Moderately,Slightly,Moderately,Slightly,Not,Not,Not,Slightly,Moderately,Extremely,Print,Decided,not at all
722,Female,18-24,yes,Yes,No,yes,yes,NDP,Yes,Undecided,Not,Moderately,Don't know,Slightly,Moderately,Slightly,Not,Moderately,Not,Not,Moderately,Very,Extremely,Online,Undecided,not at all
725,Female,18-24,yes,No,No,yes,yes,Liberal,Yes,Liberal,Extremely,Slightly,Very,Moderately,Moderately,Moderately,Not,Moderately,Not,Not,Moderately,Very,Not,Online,Decided,not at all
729,Female,65 and over,yes,Yes,Yes,yes,yes,Green,Yes,NDP,Not,Not,Moderately,Slightly,Moderately,Moderately,Moderately,Not,Moderately,Not,Moderately,Moderately,Slightly,Mail,Decided,not at all
730,Male,45-54,yes,Yes,Yes,yes,yes,Liberal,Yes,NDP,Very,Moderately,Slightly,Extremely,Moderately,Not,Moderately,Slightly,Not,Moderately,Slightly,Moderately,Moderately,TV,Decided,not at all
732,Female,45-54,yes,No,Yes,yes,yes,Liberal,Yes,Conservative,Not,Not,Don't know,Very,Moderately,Don't know,Not,Not,Not,Not,Not,Moderately,Slightly,Online,Decided,not at all
733,Male,65 and over,yes,Prefer not to say,Yes,yes,no,Did not vote,No,Don't plan to vote,Not,Not,Moderately,Extremely,Moderately,Not,Not,Not,Moderately,Extremely,Extremely,Moderately,Slightly,Signs/Billboards,Decided,not at all
737,Male,35-44,yes,No,No,yes,yes,Liberal,Yes,Conservative,Extremely,Slightly,Not,Extremely,Extremely,Moderately,Very,Slightly,Not,Extremely,Moderately,Moderately,Moderately,Mail,Decided,not at all
740,Male,35-44,yes,No,Yes,yes,yes,Liberal,Yes,Green,Slightly,Moderately,Slightly,Moderately,Moderately,Very,Moderately,Slightly,Moderately,Not,Moderately,Moderately,Moderately,Online,Decided,not at all
743,Female,18-24,yes,No,No,yes,yes,Conservative,Yes,NDP,Not,Not,Extremely,Extremely,Moderately,Slightly,Not,Not,Not,Slightly,Moderately,Moderately,Moderately,TV,Decided,not at all
746,Male,25-34,yes,No,No,yes,yes,Other/Prefer not to answer,Yes,Conservative,Extremely,Extremely,Don't know,Slightly,Extremely,Not,Moderately,Not,Not,Moderately,Moderately,Moderately,Moderately,Signs/Billboards,Decided,not at all
748,Female,35-44,yes,No,Yes,yes,yes,NDP,Yes,Liberal,Slightly,Slightly,Extremely,Moderately,Moderately,Very,Not,Slightly,Moderately,Don't know,Slightly,Slightly,Moderately,Online,Decided,not at all
751,Male,65 and over,yes,No,No,yes,yes,Liberal,Yes,Liberal,Slightly,Moderately,Slightly,Moderately,Moderately,Moderately,Very,Not,Don't know,Moderately,Slightly,Don't know,Very,Signs/Billboards,Decided,a lot
752,Male,45-54,yes,Yes,No,yes,yes,NDP,Yes,Undecided,Slightly,Moderately,Slightly,Very,Extremely,Moderately,Moderately,Not,Moderately,Slightly,Not,Extremely,Moderately,Online,Undecided,not at all
753,Male,55-64,yes,Yes,No,yes,yes,NDP,Yes,NDP,Extremely,Moderately,Very,Moderately,Extremely,Not,Moderately,Not,Not,Slightly,Not,Extremely,Slightly,Print,Decided,not at all
754,Male,45-54,yes,No,Yes,yes,yes,Liberal,Yes,NDP,Extremely,Not,Don't know,Slightly,Moderately,Very,Not,Extremely,Slightly,Moderately,Slightly,Very,Extremely,Online,Decided,not at all
757,Male,65 and over,yes,No,No,yes,yes,Liberal,Yes,Undecided,Very,Not,Moderately,Moderately,Moderately,Not,Slightly,Don't know,Moderately,Slightly,Slightly,Very,Moderately,Signs/Billboards,Undecided,not at all
758,Female,25-34,yes,No,No,yes,yes,Liberal,Yes,Liberal,Not,Slightly,Extremely,Moderately,Moderately,Extremely,Moderately,Moderately,Not,Not,Moderately,Moderately,Extremely,Online,Decided,not at all
760,Female,45-54,yes,No,No,yes,yes,Liberal,Yes,NDP,Slightly,Slightly,Moderately,Very,Moderately,Moderately,Slightly,Don't know,Moderately,Moderately,Moderately,Moderately,Moderately,Signs/Billboards,Decided,not at all
762,Female,65 and over,yes,No,No,yes,yes,Conservative,Yes,Liberal,Slightly,Very,Not,Not,Moderately,Extremely,Moderately,Very,Not,Not,Moderately,Slightly,Moderately,Mail,Decided,not at all
